,hgnc_symbol,human_ensembl_gene_id,mouse_ensembl_gene_id,mgi_symbol
83,,,ENSMUSG00000101012,1700008K24Rik
84,,,ENSMUSG00000101225,1700008J07Rik
85,,,ENSMUSG00000101404,1700009C05Rik
86,,,ENSMUSG00000101565,1700003L19Rik
87,,,ENSMUSG00000101585,1600010M07Rik
88,,,ENSMUSG00000101963,1700001J11Rik
89,,,ENSMUSG00000102000,1700006H21Rik
90,,,ENSMUSG00000102069,1700012I11Rik
91,,,ENSMUSG00000102099,1700011B04Rik
92,,,ENSMUSG00000103746,1700001G17Rik
93,,,ENSMUSG00000107121,1110006O24Rik
94,,,ENSMUSG00000109644,0610005C13Rik
95,,,ENSMUSG00000117232,1600002D24Rik
96,,,ENSMUSG00000118314,1700001K23Rik
0,C19orf44,ENSG00000105072,ENSMUSG00000052794,1700030K09Rik
1,C1orf21,ENSG00000116667,ENSMUSG00000032666,1700025G04Rik
2,CIMIP1,ENSG00000124237,ENSMUSG00000027518,1700021F07Rik
3,C12orf50,ENSG00000165805,ENSMUSG00000056912,1700017N19Rik
4,SPMIP5,ENSG00000165863,ENSMUSG00000026931,1700019N19Rik
5,C16orf46,ENSG00000166455,ENSMUSG00000031847,1700030J22Rik
6,C15orf39,ENSG00000167173,ENSMUSG00000032300,1700017B05Rik
7,C9orf131,ENSG00000174038,ENSMUSG00000028451,1700022I11Rik
8,C10orf53,ENSG00000178645,ENSMUSG00000072473,1700024G13Rik
9,C2orf88,ENSG00000187699,ENSMUSG00000043629,1700019D03Rik
10,C1orf146,ENSG00000203910,ENSMUSG00000089798,1700028K03Rik
11,CFAP96,ENSG00000205129,ENSMUSG00000071103,1700029J07Rik
12,C12orf71,ENSG00000214700,ENSMUSG00000040163,1700034J05Rik
13,C16orf90,ENSG00000215131,ENSMUSG00000005983,1700037C18Rik
14,,ENSG00000250803,ENSMUSG00000024532,1700034E13Rik
15,C16orf95,ENSG00000260456,ENSMUSG00000031809,1700018B08Rik
16,C17orf50,ENSG00000270806,ENSMUSG00000035085,1700020L24Rik
17,C13orf46,ENSG00000283199,ENSMUSG00000031452,1700029H14Rik
18,,,ENSMUSG00000027409,1700020A23Rik
19,,,ENSMUSG00000029620,1700018F24Rik
20,,,ENSMUSG00000032894,1700031F05Rik
21,,,ENSMUSG00000037884,1700017G19Rik
22,,,ENSMUSG00000037910,1700018B24Rik
23,,,ENSMUSG00000038165,1700022A21Rik
24,,,ENSMUSG00000038408,1700018A04Rik
25,,,ENSMUSG00000038782,1700028J19Rik
26,,,ENSMUSG00000050844,1700020N01Rik
27,,,ENSMUSG00000052075,1700029F12Rik
28,,,ENSMUSG00000055833,1700034H15Rik
29,,,ENSMUSG00000056821,1700028I16Rik
30,,,ENSMUSG00000059690,1700020N15Rik
31,,,ENSMUSG00000059695,1700019M22Rik
32,,,ENSMUSG00000060715,1700019A02Rik
33,,,ENSMUSG00000078492,1700045H11Rik
34,,,ENSMUSG00000078935,1700025C18Rik
35,,,ENSMUSG00000085333,1700030A11Rik
36,,,ENSMUSG00000085416,1700019G24Rik
37,,,ENSMUSG00000085561,1700046C09Rik
38,,,ENSMUSG00000086202,1700019E08Rik
39,,,ENSMUSG00000086348,1700017J07Rik
40,,,ENSMUSG00000086379,1700026D11Rik
41,,,ENSMUSG00000086391,1700042O10Rik
42,,,ENSMUSG00000086788,1700029M20Rik
43,,,ENSMUSG00000086823,1700028P15Rik
44,,,ENSMUSG00000087044,1700042G15Rik
45,,,ENSMUSG00000087343,1700021N21Rik
46,,,ENSMUSG00000087393,1700023C21Rik
47,,,ENSMUSG00000091071,1700030C10Rik
48,,,ENSMUSG00000092239,1700031A10Rik
49,,,ENSMUSG00000092369,1700039E22Rik
50,,,ENSMUSG00000097321,1700028E10Rik
51,,,ENSMUSG00000097424,1700030M09Rik
52,,,ENSMUSG00000097893,1700034P13Rik
53,,,ENSMUSG00000097962,1700034G24Rik
54,,,ENSMUSG00000098144,1700029N11Rik
55,,,ENSMUSG00000098304,1700027I24Rik
56,,,ENSMUSG00000099349,1700047G03Rik
57,,,ENSMUSG00000099353,1700031M16Rik
58,,,ENSMUSG00000099360,1700022H16Rik
59,,,ENSMUSG00000099417,1700028B04Rik
60,,,ENSMUSG00000099508,1700030L20Rik
61,,,ENSMUSG00000099747,1700025K24Rik
62,,,ENSMUSG00000099751,1700022A22Rik
63,,,ENSMUSG00000099759,1700030C10Rik
64,,,ENSMUSG00000099869,1700030F04Rik
65,,,ENSMUSG00000099911,1700044C05Rik
66,,,ENSMUSG00000099968,1700029J03Rik
67,,,ENSMUSG00000099983,1700022E09Rik
68,,,ENSMUSG00000099994,1700024B18Rik
69,,,ENSMUSG00000099995,1700036G14Rik
70,,,ENSMUSG00000100000,1700023F02Rik
71,,,ENSMUSG00000100075,1700018L02Rik
72,,,ENSMUSG00000100121,1700025N23Rik
73,,,ENSMUSG00000100146,1700020M21Rik
74,,,ENSMUSG00000100147,1700047M11Rik
75,,,ENSMUSG00000100175,1700025M24Rik
76,,,ENSMUSG00000100198,1700030O20Rik
77,,,ENSMUSG00000100253,1700020N18Rik
78,,,ENSMUSG00000100282,1700041C23Rik
79,,,ENSMUSG00000100294,1700034K08Rik
80,,,ENSMUSG00000100297,1700044K03Rik
81,,,ENSMUSG00000100315,1700031P21Rik
82,,,ENSMUSG00000100558,1700025F24Rik
83,,,ENSMUSG00000100759,1700029B22Rik
84,,,ENSMUSG00000100799,1700027H10Rik
85,,,ENSMUSG00000100857,1700041M19Rik
86,,,ENSMUSG00000100911,1700027F09Rik
87,,,ENSMUSG00000100969,1700030N03Rik
88,,,ENSMUSG00000101113,1700025B11Rik
89,,,ENSMUSG00000101334,1700028M03Rik
90,,,ENSMUSG00000101483,1700016L21Rik
91,,,ENSMUSG00000101683,1700028D13Rik
92,,,ENSMUSG00000101762,1700047L14Rik
93,,,ENSMUSG00000101801,1700020G17Rik
94,,,ENSMUSG00000101854,1700026F02Rik
95,,,ENSMUSG00000101894,1700016P04Rik
96,,,ENSMUSG00000111422,1700027J07Rik
0,C22orf23,ENSG00000128346,ENSMUSG00000033029,1700088E04Rik
1,C2orf69,ENSG00000178074,ENSMUSG00000038323,1700066M21Rik
2,C12orf42,ENSG00000179088,ENSMUSG00000047129,1700113H08Rik
3,C14orf119,ENSG00000179933,ENSMUSG00000040822,1700123O20Rik
4,C19orf67,ENSG00000188032,ENSMUSG00000046408,1700067K01Rik
5,PLSCR1,ENSG00000188313,ENSMUSG00000074139,1700057G04Rik
6,C3orf62,ENSG00000188315,ENSMUSG00000032611,1700102P08Rik
7,C2orf74,ENSG00000237651,ENSMUSG00000020286,1700093K21Rik
8,,,ENSMUSG00000008307,1700109H08Rik
9,,,ENSMUSG00000021545,1700067P10Rik
10,,,ENSMUSG00000028009,1700061I17Rik
11,,,ENSMUSG00000029526,1700123K08Rik
12,,,ENSMUSG00000042184,1700069L16Rik
13,,,ENSMUSG00000043773,1700048O20Rik
14,,,ENSMUSG00000043859,1700049L16Rik
15,,,ENSMUSG00000044854,1700056E22Rik
16,,,ENSMUSG00000058101,1700084J12Rik
17,,,ENSMUSG00000071265,1700086L19Rik
18,,,ENSMUSG00000078600,1700092K14Rik
19,,,ENSMUSG00000078957,1700060C20Rik
20,,,ENSMUSG00000079407,1700110I01Rik
21,,,ENSMUSG00000080980,1700071K01Rik
22,,,ENSMUSG00000084757,1700057H15Rik
23,,,ENSMUSG00000084811,1700092E19Rik
24,,,ENSMUSG00000084859,1700080N15Rik
25,,,ENSMUSG00000085044,1700109G15Rik
26,,,ENSMUSG00000085077,1700049E15Rik
27,,,ENSMUSG00000085197,1700125H03Rik
28,,,ENSMUSG00000085263,1700125G02Rik
29,,,ENSMUSG00000085580,1700061F12Rik
30,,,ENSMUSG00000085614,1700123M08Rik
31,,,ENSMUSG00000085637,1700048M11Rik
32,,,ENSMUSG00000085800,1700066O22Rik
33,,,ENSMUSG00000085889,1700054M17Rik
34,,,ENSMUSG00000086046,1700095A21Rik
35,,,ENSMUSG00000086080,1700123O12Rik
36,,,ENSMUSG00000086333,1700120E14Rik
37,,,ENSMUSG00000086781,1700092C02Rik
38,,,ENSMUSG00000086887,1700060C16Rik
39,,,ENSMUSG00000086951,1700051A21Rik
40,,,ENSMUSG00000087047,1700110K17Rik
41,,,ENSMUSG00000087204,1700073E17Rik
42,,,ENSMUSG00000090307,1700071M16Rik
43,,,ENSMUSG00000092066,1700121N20Rik
44,,,ENSMUSG00000092499,1700092C10Rik
45,,,ENSMUSG00000093616,1700055C04Rik
46,,,ENSMUSG00000094928,1700122O11Rik
47,,,ENSMUSG00000096655,1700065D16Rik
48,,,ENSMUSG00000096935,1700113A16Rik
49,,,ENSMUSG00000097080,1700086O06Rik
50,,,ENSMUSG00000097584,1700125G22Rik
51,,,ENSMUSG00000097675,1700101I11Rik
52,,,ENSMUSG00000098230,1700095B10Rik
53,,,ENSMUSG00000099378,1700067G17Rik
54,,,ENSMUSG00000099384,1700110C19Rik
55,,,ENSMUSG00000099435,1700065I16Rik
56,,,ENSMUSG00000099474,1700097N02Rik
57,,,ENSMUSG00000099579,1700120K04Rik
58,,,ENSMUSG00000099605,1700066N21Rik
59,,,ENSMUSG00000099630,1700096J18Rik
60,,,ENSMUSG00000099639,1700084F23Rik
61,,,ENSMUSG00000099681,1700052K11Rik
62,,,ENSMUSG00000099872,1700074H08Rik
63,,,ENSMUSG00000099923,1700105P06Rik
64,,,ENSMUSG00000099988,1700054A03Rik
65,,,ENSMUSG00000100062,1700063A18Rik
66,,,ENSMUSG00000100134,1700065O20Rik
67,,,ENSMUSG00000100211,1700064M15Rik
68,,,ENSMUSG00000100219,1700054K19Rik
69,,,ENSMUSG00000100364,1700121L16Rik
70,,,ENSMUSG00000100487,1700072B07Rik
71,,,ENSMUSG00000100511,1700111N16Rik
72,,,ENSMUSG00000100573,1700081H04Rik
73,,,ENSMUSG00000100585,1700108J01Rik
74,,,ENSMUSG00000100593,1700119H24Rik
75,,,ENSMUSG00000100599,1700120C14Rik
76,,,ENSMUSG00000100681,1700064J06Rik
77,,,ENSMUSG00000100717,1700120G07Rik
78,,,ENSMUSG00000100747,1700084E18Rik
79,,,ENSMUSG00000100837,1700063D05Rik
80,,,ENSMUSG00000100872,1700065J18Rik
81,,,ENSMUSG00000100890,1700085C21Rik
82,,,ENSMUSG00000101009,1700108F19Rik
83,,,ENSMUSG00000101051,1700100L14Rik
84,,,ENSMUSG00000101261,1700109I08Rik
85,,,ENSMUSG00000101481,1700123O21Rik
86,,,ENSMUSG00000101505,1700109G14Rik
87,,,ENSMUSG00000101553,1700049E22Rik
88,,,ENSMUSG00000101574,1700112H15Rik
89,,,ENSMUSG00000101634,1700066B17Rik
90,,,ENSMUSG00000101695,1700094J05Rik
91,,,ENSMUSG00000101856,1700096K18Rik
92,,,ENSMUSG00000101912,1700052I22Rik
93,,,ENSMUSG00000101978,1700063O14Rik
94,,,ENSMUSG00000102096,1700101O22Rik
95,,,ENSMUSG00000107341,1700065J11Rik
96,,,ENSMUSG00000107637,1700069P05Rik
97,,,ENSMUSG00000107744,1700072O05Rik
98,,,ENSMUSG00000107895,1700094M24Rik
99,,,ENSMUSG00000116852,1700102H20Rik
0,C1orf198,ENSG00000119280,ENSMUSG00000031983,2310022B05Rik
1,C19orf25,ENSG00000119559,ENSMUSG00000020133,2310011J03Rik
2,C10orf88,ENSG00000119965,ENSMUSG00000040177,2310057M21Rik
3,C10orf95,ENSG00000120055,ENSMUSG00000099655,2310034G01Rik
4,C1orf35,ENSG00000143793,ENSMUSG00000020441,2310033P09Rik
5,C11orf52,ENSG00000149300,ENSMUSG00000032062,2310030G06Rik
6,C12orf43,ENSG00000157895,ENSMUSG00000029559,2210016L21Rik
7,C19orf47,ENSG00000160392,ENSMUSG00000049643,2310022A10Rik
8,C1orf52,ENSG00000162642,ENSMUSG00000036873,2410004B18Rik
9,C4orf3,ENSG00000164096,ENSMUSG00000054091,1810037I17Rik
10,C19orf33,ENSG00000167644,ENSMUSG00000030587,2200002D01Rik
11,C11orf24,ENSG00000171067,ENSMUSG00000035372,1810055G02Rik
12,C11orf86,ENSG00000173237,ENSMUSG00000042041,2010003K11Rik
13,C6orf58,ENSG00000184530,ENSMUSG00000015519,2310057J18Rik
14,KIAA0825,ENSG00000185261,ENSMUSG00000071252,2210408I21Rik
15,CXorf38,ENSG00000185753,ENSMUSG00000044148,1810030O07Rik
16,C17orf58,ENSG00000186665,ENSMUSG00000078607,1810010H24Rik
17,C15orf61,ENSG00000189227,ENSMUSG00000032403,2300009A05Rik
18,C1orf53,ENSG00000203724,ENSMUSG00000079283,2310009B15Rik
19,C6orf15,ENSG00000204542,ENSMUSG00000039269,2300002M23Rik
20,C6orf136,ENSG00000204564,ENSMUSG00000050705,2310061I04Rik
21,C6orf226,ENSG00000221821,ENSMUSG00000062619,2310039H08Rik
22,C11orf98,ENSG00000278615,ENSMUSG00000071653,1810009A15Rik
23,,,ENSMUSG00000013083,2200002J24Rik
24,,,ENSMUSG00000013653,1810065E05Rik
25,,,ENSMUSG00000021977,1700129C05Rik
26,,,ENSMUSG00000025528,2010106E10Rik
27,,,ENSMUSG00000027713,1810062G17Rik
28,,,ENSMUSG00000028396,2310002L09Rik
29,,,ENSMUSG00000029384,2010109A12Rik
30,,,ENSMUSG00000031998,1700128F08Rik
31,,,ENSMUSG00000038311,2410017I17Rik
32,,,ENSMUSG00000044145,1810024B03Rik
33,,,ENSMUSG00000045331,2310079G19Rik
34,,,ENSMUSG00000045411,2410002F23Rik
35,,,ENSMUSG00000048830,2310057N15Rik
36,,,ENSMUSG00000050704,2310061N02Rik
37,,,ENSMUSG00000053353,2310001K24Rik
38,,,ENSMUSG00000063018,2010204K13Rik
39,,,ENSMUSG00000068078,2310034C09Rik
40,,,ENSMUSG00000071398,2410004P03Rik
41,,,ENSMUSG00000073164,2410018L13Rik
42,,,ENSMUSG00000074829,2010315B03Rik
43,,,ENSMUSG00000078257,2300003K06Rik
44,,,ENSMUSG00000081766,2210409E12Rik
45,,,ENSMUSG00000084925,1810062O18Rik
46,,,ENSMUSG00000085338,2410004I01Rik
47,,,ENSMUSG00000085394,2210414B05Rik
48,,,ENSMUSG00000085860,2410003L11Rik
49,,,ENSMUSG00000086390,1810019D21Rik
50,,,ENSMUSG00000086494,2210417A02Rik
51,,,ENSMUSG00000086841,2410006H16Rik
52,,,ENSMUSG00000087254,2310005A03Rik
53,,,ENSMUSG00000087331,1810021B22Rik
54,,,ENSMUSG00000087380,2210408F21Rik
55,,,ENSMUSG00000087410,2310065F04Rik
56,,,ENSMUSG00000090925,1810064F22Rik
57,,,ENSMUSG00000091575,2010016I18Rik
58,,,ENSMUSG00000094808,1810009J06Rik
59,,,ENSMUSG00000097101,1810034E14Rik
60,,,ENSMUSG00000097162,2310010J17Rik
61,,,ENSMUSG00000097354,2310001H17Rik
62,,,ENSMUSG00000097412,1810014B01Rik
63,,,ENSMUSG00000097729,2310015A10Rik
64,,,ENSMUSG00000099411,2310015D24Rik
65,,,ENSMUSG00000099446,2310005E17Rik
66,,,ENSMUSG00000099447,2310030A07Rik
67,,,ENSMUSG00000099528,2410012E07Rik
68,,,ENSMUSG00000099794,1700128A07Rik
69,,,ENSMUSG00000099825,1810012K16Rik
70,,,ENSMUSG00000100001,1810007D17Rik
71,,,ENSMUSG00000100084,2310068J16Rik
72,,,ENSMUSG00000100094,1810008I18Rik
73,,,ENSMUSG00000100157,2310034O05Rik
74,,,ENSMUSG00000100182,1810006J02Rik
75,,,ENSMUSG00000100277,1810053B23Rik
76,,,ENSMUSG00000100291,2310069B03Rik
77,,,ENSMUSG00000100335,2310008N11Rik
78,,,ENSMUSG00000100410,2310020H05Rik
79,,,ENSMUSG00000100550,2310039L15Rik
80,,,ENSMUSG00000100680,1810044D09Rik
81,,,ENSMUSG00000100691,2010320M18Rik
82,,,ENSMUSG00000100714,2010308F09Rik
83,,,ENSMUSG00000100738,2010106C02Rik
84,,,ENSMUSG00000100844,1810007C17Rik
85,,,ENSMUSG00000100860,2010009K17Rik
86,,,ENSMUSG00000101088,1810018F18Rik
87,,,ENSMUSG00000101268,2010310C07Rik
88,,,ENSMUSG00000101655,2310040G24Rik
89,,,ENSMUSG00000101746,2310043L19Rik
90,,,ENSMUSG00000101773,2210420H20Rik
91,,,ENSMUSG00000102047,2010010A06Rik
92,,,ENSMUSG00000102098,2310016D03Rik
93,,,ENSMUSG00000102106,2310043O21Rik
94,,,ENSMUSG00000107014,1700126H18Rik
95,,,ENSMUSG00000112701,2310002D06Rik
96,,,ENSMUSG00000113800,2210039B01Rik
97,,,ENSMUSG00000118322,2210409D07Rik
0,KIAA0586,ENSG00000100578,ENSMUSG00000034601,2700049A03Rik
1,KIAA2013,ENSG00000116685,ENSMUSG00000044496,2510039O18Rik
2,SYCP3,ENSG00000139351,ENSMUSG00000031125,3830403N18Rik
3,C18orf21,ENSG00000141428,ENSMUSG00000024273,2700062C07Rik
4,C1orf131,ENSG00000143633,ENSMUSG00000031984,2810004N23Rik
5,C7orf50,ENSG00000146540,ENSMUSG00000053553,3110082I17Rik
6,C21orf58,ENSG00000160298,ENSMUSG00000009114,2610028H24Rik
7,C15orf40,ENSG00000169609,ENSMUSG00000025102,3110040N11Rik
8,C5orf34,ENSG00000172244,ENSMUSG00000062822,4833420G17Rik
9,C19orf18,ENSG00000177025,ENSMUSG00000030385,2900092C05Rik
10,C10orf71,ENSG00000177354,ENSMUSG00000071540,3425401B19Rik
11,C3orf70,ENSG00000187068,ENSMUSG00000043391,2510009E07Rik
12,KIAA1671,ENSG00000197077,ENSMUSG00000051339,2900026A02Rik
13,C2orf72,ENSG00000204128,ENSMUSG00000026227,2810459M11Rik
14,C22orf39,ENSG00000242259,ENSMUSG00000071632,2510002D24Rik
15,C1orf210,ENSG00000253313,ENSMUSG00000028536,2610528J11Rik
16,,,ENSMUSG00000018570,2810408A11Rik
17,,,ENSMUSG00000020491,2810021J22Rik
18,,,ENSMUSG00000026388,3110009E18Rik
19,,,ENSMUSG00000037735,2810032G03Rik
20,,,ENSMUSG00000038917,3930402G23Rik
21,,,ENSMUSG00000041789,2700046A07Rik
22,,,ENSMUSG00000043833,2900005J15Rik
23,,,ENSMUSG00000045464,2810002D19Rik
24,,,ENSMUSG00000048106,4632415L05Rik
25,,,ENSMUSG00000049881,2810025M15Rik
26,,,ENSMUSG00000049916,2610318N02Rik
27,,,ENSMUSG00000051297,2410124H12Rik
28,,,ENSMUSG00000053714,4732471J01Rik
29,,,ENSMUSG00000054418,2900041M22Rik
30,,,ENSMUSG00000060301,2610008E11Rik
31,,,ENSMUSG00000062198,2700097O09Rik
32,,,ENSMUSG00000063364,3300002I08Rik
33,,,ENSMUSG00000064308,2410137M14Rik
34,,,ENSMUSG00000070282,3000002C10Rik
35,,,ENSMUSG00000071181,3830408C21Rik
36,,,ENSMUSG00000071793,2610005L07Rik
37,,,ENSMUSG00000073236,2500004C02Rik
38,,,ENSMUSG00000074024,4632427E13Rik
39,,,ENSMUSG00000074635,3110070M22Rik
40,,,ENSMUSG00000074782,4833422C13Rik
41,,,ENSMUSG00000079671,2610203C22Rik
42,,,ENSMUSG00000084885,3010001F23Rik
43,,,ENSMUSG00000084966,2810471M01Rik
44,,,ENSMUSG00000085236,2610206C17Rik
45,,,ENSMUSG00000085287,4833418N02Rik
46,,,ENSMUSG00000085421,4732490B19Rik
47,,,ENSMUSG00000085555,2610035F20Rik
48,,,ENSMUSG00000085562,2610028E06Rik
49,,,ENSMUSG00000085582,3110099E03Rik
50,,,ENSMUSG00000085622,3110056K07Rik
51,,,ENSMUSG00000085882,2610507I01Rik
52,,,ENSMUSG00000085936,2610307P16Rik
53,,,ENSMUSG00000086015,4833417C18Rik
54,,,ENSMUSG00000086224,2700069I18Rik
55,,,ENSMUSG00000086254,3100003L05Rik
56,,,ENSMUSG00000086283,2810433D01Rik
57,,,ENSMUSG00000086629,2810403D21Rik
58,,,ENSMUSG00000086815,3110082J24Rik
59,,,ENSMUSG00000087038,2900079G21Rik
60,,,ENSMUSG00000087213,2810408I11Rik
61,,,ENSMUSG00000087259,2610035D17Rik
62,,,ENSMUSG00000087497,2810001G20Rik
63,,,ENSMUSG00000089759,3632454L22Rik
64,,,ENSMUSG00000090260,2810442N19Rik
65,,,ENSMUSG00000092574,2810047C21Rik1
66,,,ENSMUSG00000096965,3300005D01Rik
67,,,ENSMUSG00000096995,2810029C07Rik
68,,,ENSMUSG00000097040,2610316D01Rik
69,,,ENSMUSG00000097180,2700038G22Rik
70,,,ENSMUSG00000097184,4632428C04Rik
71,,,ENSMUSG00000097277,2900076A07Rik
72,,,ENSMUSG00000097350,4732491K20Rik
73,,,ENSMUSG00000097503,3110045C21Rik
74,,,ENSMUSG00000097536,2610037D02Rik
75,,,ENSMUSG00000097537,2610020C07Rik
76,,,ENSMUSG00000097697,4833412C05Rik
77,,,ENSMUSG00000097709,2810429I04Rik
78,,,ENSMUSG00000098090,2700099C18Rik
79,,,ENSMUSG00000099696,2900052N01Rik
80,,,ENSMUSG00000099881,2810013P06Rik
81,,,ENSMUSG00000100119,2700089I24Rik
82,,,ENSMUSG00000100164,2610306M01Rik
83,,,ENSMUSG00000100572,2410021H03Rik
84,,,ENSMUSG00000100876,2810454H06Rik
85,,,ENSMUSG00000100891,2810049E08Rik
86,,,ENSMUSG00000101089,2610016A17Rik
87,,,ENSMUSG00000102014,2900009J06Rik
88,,,ENSMUSG00000102046,2810404M03Rik
89,,,ENSMUSG00000103562,2810405F15Rik
90,,,ENSMUSG00000104861,3110039M20Rik
91,,,ENSMUSG00000107402,4732416N19Rik
92,,,ENSMUSG00000107722,2900060B14Rik
93,,,ENSMUSG00000113331,3110009F21Rik
94,,,ENSMUSG00000113434,3200001D21Rik
95,,,ENSMUSG00000114824,3110015C05Rik
96,,,ENSMUSG00000117042,2700054A10Rik
97,,,ENSMUSG00000117401,4833419F23Rik
98,,,ENSMUSG00000117797,2900057B20Rik
0,KIAA1191,ENSG00000122203,ENSMUSG00000025871,4833439L19Rik
1,SPMIP4,ENSG00000153790,ENSMUSG00000029828,4921507P07Rik
2,C16orf87,ENSG00000155330,ENSMUSG00000036934,4921524J17Rik
3,C16orf92,ENSG00000167194,ENSMUSG00000045989,4930451I11Rik
4,C14orf39,ENSG00000179008,ENSMUSG00000021098,4930447C04Rik
5,C3orf38,ENSG00000179021,ENSMUSG00000059920,4930453N24Rik
6,C10orf67,ENSG00000179133,ENSMUSG00000026734,4921504E06Rik
7,C5orf52,ENSG00000187658,ENSMUSG00000020434,4921536K21Rik
8,C2orf78,ENSG00000187833,ENSMUSG00000091692,4930433I11Rik
9,C1orf141,ENSG00000203963,ENSMUSG00000028520,4921539E11Rik
10,C8orf89,ENSG00000274443,ENSMUSG00000067795,4930444P10Rik
11,,,ENSMUSG00000022116,4930449E01Rik
